Cpu,Ram,Gpu,OpSys,Price,Category,Label number
C,8,S,WI,106928,Executive,11
D,16,S,WI,106928,Executive,11
C,8,S,WI,107626,Executive,11
C,8,S,WI,107703,Executive,11
C,8,S,WI,107703,Executive,11
C,16,R,WI,108246,Executive,11
D,16,S,NO,108401,Executive,11
C,8,R,WI,108478,Executive,11
D,8,S,WI,108478,Executive,11
B,8,S,WI,108478,Executive,11
C,8,S,WI,108478,Executive,11
B,8,S,WI,108478,Executive,11
C,16,S,WI,108478,Executive,11
C,8,S,WI,108478,Executive,11
B,8,S,WI,108478,Executive,11
B,8,S,WI,108478,Executive,11
C,16,S,NO,108552,Executive,11
C,16,R,WI,108789,Executive,11
D,16,S,WI,109099,Executive,11
D,8,S,WI,109254,Executive,11
C,8,S,MA,110029,Executive,11
